control_id,x1,y1,x2,y2,h1_mean,h1_std,h2_mean,h2_std,delta_std_h2_minus_h1,pct_change_std
C01,470,20,530,80,114.43666666666667,10.575778931123702,115.17472222222223,10.258534383654288,-0.31724454746941433,-2.9997274861314316
C02,860,80,920,140,114.54055555555556,6.2424193780423005,114.89222222222222,6.413228131115281,0.17080875307298005,2.736258856202456
C03,740,110,800,170,108.625,8.025268254429601,109.39861111111111,7.954121801087988,-0.07114645334161374,-0.8865305318902506
C04,770,110,830,170,109.64805555555556,8.44970555681756,110.06833333333333,8.4409252718197,-0.008780284997861543,-0.10391231906036191
C05,800,110,860,170,110.31361111111111,6.528504445369543,110.26972222222223,6.446297380887691,-0.08220706448185222,-1.259202090919287
C06,830,110,890,170,110.29722222222222,4.168531989875726,110.47194444444445,3.9820139512594244,-0.18651803861630167,-4.4744298249193015
C07,860,110,920,170,111.68888888888888,2.760513013692461,111.86222222222223,2.605105149414544,-0.15540786427791708,-5.629673307355421
C08,890,110,950,170,113.07027777777778,1.1087054165184205,113.14305555555555,1.5600326197523429,0.4513272032339224,40.70758530712237
C09,740,140,800,200,107.83638888888889,4.055881636434356,108.0911111111111,4.208724917608511,0.1528432811741549,3.7684354444949664
C10,770,140,830,200,107.6613888888889,3.2849925188294464,107.90472222222222,3.6962563539276623,0.41126383509821585,12.519475546469838
C11,800,140,860,200,107.12222222222222,2.576831722948757,107.24111111111111,2.698493178071563,0.12166145512280568,4.721358171715773
C12,830,140,890,200,108.1775,3.2733595340091943,108.85833333333333,3.487029538159951,0.21367000415075665,6.527544619855874
C13,860,140,920,200,110.82111111111111,3.2822246671171214,111.44388888888889,2.95468862598806,-0.3275360411290613,-9.979086575348495
C14,890,140,950,200,112.60083333333333,2.4975208541004554,112.94611111111111,2.485823447044569,-0.011697407055886622,-0.4683607360748021
C15,740,170,800,230,106.60333333333334,2.110394907752259,106.6361111111111,2.020128265699122,-0.09026664205313706,-4.277239379300735
C16,770,170,830,230,106.02333333333333,0.4034710508684469,106.1138888888889,0.8936979286393814,0.49022687777093443,121.50236719976584
C17,800,170,860,230,106.09333333333333,0.812513247755246,106.14833333333333,1.0515583673767235,0.23904511962147745,29.42045810107028
C18,830,170,890,230,107.03194444444445,2.5037375610657273,107.33361111111111,2.7942566620140457,0.29051910094831834,11.603416646617614
C19,860,170,920,230,109.11138888888888,3.5131630673303964,109.91777777777777,3.509734962382892,-0.003428104947504451,-0.09757887356220962
C20,890,170,950,230,111.67222222222222,4.071077601754378,112.43555555555555,2.794689850059339,-1.2763877516950388,-31.352577291697813
C21,740,200,800,260,106.09333333333333,0.8028836915906451,106.09333333333333,0.8028836915906451,0.0,0.0
C22,770,200,830,260,106.0,0.0,106.0,0.0,0.0,
C23,800,200,860,260,106.03111111111112,0.46562847479853486,106.12444444444445,0.9249998331664848,0.45937135836794996,98.65619978819117
C24,830,200,890,260,106.29472222222222,1.4251997639923855,106.2761111111111,1.3809764616583156,-0.0442233023340699,-3.1029546489811377
C25,860,200,920,260,108.36333333333333,3.3391099945278166,108.89111111111112,3.463272198512218,0.12416220398440148,3.7184221001368645
C26,890,200,950,260,114.83833333333334,12.731237938411347,117.33222222222223,19.229669366648437,6.49843142823709,51.04320145200263
C27,740,230,800,290,107.12861111111111,3.674835502743248,107.18833333333333,3.7110728125102974,0.0362373097670492,0.9860933840439401
C28,770,230,830,290,107.81537037037037,3.260858146328986,107.81175925925928,3.2658300124836503,0.004971866154664273,0.1524710959984965
C29,800,230,860,290,107.14787037037038,2.823996342281776,107.1800925925926,2.8517276533200997,0.027731311038323714,0.9819882066814944
C30,830,230,890,290,107.12435185185186,2.5884238160527184,107.14268518518519,2.632778694455357,0.04435487840263841,1.7135863967701503
C31,860,230,920,290,109.7712962962963,3.5166592309714066,109.95351851851852,3.518311879897086,0.0016526489256794008,0.046994855547111136
